PLAY,2008,No,
BSAA,BSAT,BSBA,BSBT,BSCA,BSCT,BSFA,BSFT,BSGA,BSGT,BSPA,BSPT,BSSA,BSST,BSTA,BSTT,BSWA,BSWT,EPAV,ISCN,PACC,PAGE,PAGI,PAWR,PBCV,PBKT,PBOT,PBRE,PBSG,PBSK,PCAR,PCEL,PCMT,PCOL,PCON,PCPH,PCSA,PCTH,PCYL,PDPI,PDRO,PDRR,PEGO,PELU,PEPS,PEYE,PFHO,PFLA,PFMK,PFMS,PFNA,PFPB,PGHE,PGID,PGSL,PHAN,PHGT,PHLM,PHSN,PHTN,PICN,PIMP,PINJ,PJEN,PJER,PJMP,PJTY,PKAC,PKPR,PKRT,PLBD,PLBK,PLBP,PLCI,PLCP,PLDT,PLEL,PLHA,PLHS,PLHT,PLHW,PLHY,PLIB,PLJM,PLKN,PLMC,PLMO,PLNA,PLPE,PLPL,PLPm,PLPO,PLPR,PLPU,PLRL,PLSA,PLSC,PLSH,PLSM,PLTH,PLTL,PLTR,PLTY,PLWR,PLZC,PMOR,PMPC,PMRR,PNEC,PNEK,POID,POVR,PPBF,PPBK,PPBS,PPLA,PPOS,PPTI,PQBS,PRBF,PRBK,PRBS,PREL,PRHA,PRKN,PRL2,PROL,PRSE,PRSH,PRTH,PRWR,PSA0,PSA1,PSA2,PSA3,PSA4,PSA5,PSA6,PSB0,PSB1,PSB2,PSB3,PSB4,PSB5,PSB6,PSBO,PSHG,PSKH,PSKI,PSPD,PSPL,PSPR,PSTA,PSTM,PSTN,PSTR,PSTY,PSXP,PTAD,PTAK,PTAM,PTAS,PTEN,PTGH,PTHA,PTHP,PTOP,PTOR,PTSA,PTUP,PUHE,PUND,PVCO,PVIS,PVSB,PVTS,PWGT,PYCF,PYRP,PYWT,SRRN,TGID,TRBH,TRBR,TRCB,TRCL,TRCT,TRDO,TRDP,TRDS,TRFB,TRFK,TRFP,TRFY,TRHM,TRIC,TRJR,TRPB,TRSB,TRSC,TRSP,TRSW,TRTA,TRTL,TRTR,TRTS,TRWU,TSPM,
0.399,0,0.548,2.51,0.853,0,0.4,0,0.403,0,0.05,0,1,0.125,0.35,0.297,0.5,0.5,0,0,84,29,80,66,73,56,0,0,25,59,62,1,4600,255,1,0,105,59,1,7,2,10,3,59,SmithGeno_112,0,0,1,111,10,Geno,0,110,112,3,0,75,8,8,Miramar,0,27,86,7,1,81,0,15,20,15,21682,25,0,46,0,0,0,0,0,12,1,-31,35,68,2,18,1,Smith,15,100,10,99,18,30,30,56,49,24,68,2,1,35,0,0,25,13,0,20,0,0,112,57,20,24,20,72,0,0,1,15,20,15,0,0,2,0,0,11,24,2,1,91,0,0,0,0,0,0,14,0,0,0,0,0,0,14,6,1,1,83,0,0,94,35,30,60,0,6078,66,38,69,80,1,88,77,83,0,79,105,67,0,0,1,3,0,65,61,50,7,0,30,28,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,
0.399,0,0.548,2.51,0.753,0,0.4,0,0.403,0,0.1,0,0.403,0,0.35,0.297,0.5,0.5,0,0,74,29,64,71,63,38,0,0,28,62,64,0,255,232,3,0,147,37,1,1,4,13,3,37,BarkleyMatt_116,0,0,1,74,10,Matt,0,9,116,8,0,74,3,4,Newport Beach,0,36,87,5,2,72,0,25,25,10,17458,20,0,23,0,0,0,0,0,12,1,-31,30,61,2,15,1,Barkley,10,100,10,99,15,35,12,44,28,25,59,2,1,32,0,7,20,8,0,14,1,0,116,55,15,19,25,79,0,0,1,20,15,25,0,0,2,0,0,1,25,2,1,65,84,111,0,0,0,0,37,37,36,0,0,0,0,110,6,1,0,71,0,0,95,45,43,63,0,5677,59,25,69,84,1,87,79,79,0,73,370,68,0,0,3,0,110,370,67,50,7,1,23,3,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,1,0,0,1,0,3,
0.6,0.17,0.81,0.455,0.926,0.05,1,0.7,0.601,0.2,0.05,0,1,0.705,0.897,0.513,0.5,0.6,0,0,74,30,54,70,42,24,0,0,23,39,61,2,5501,139,0,0,0,25,0,11,3,10,3,20,GlennonMike_251,0,0,1,48,10,Mike,0,5,251,10,0,78,10,45,Centreville,0,41,86,7,1,65,0,21,22,10,26033,11,0,10,0,0,0,0,0,15,1,-31,21,32,2,10,1,Glennon,10,100,10,99,18,21,12,45,12,11,30,2,1,34,1,8,16,10,0,10,1,0,251,56,19,20,14,69,0,23,0,11,20,11,0,0,2,0,0,1,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,68,0,0,90,60,5,59,0,5819,68,29,67,80,1,85,75,84,0,66,0,67,0,0,0,0,0,0,65,50,7,0,10,1009,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,4,
0.399,0,0.548,2.51,0.753,0,0.4,0,0.403,0,0.1,0,0.403,0,0.35,0.297,0.5,0.5,0,0,81,31,78,55,55,25,0,0,20,53,62,2,2512,158,0,0,0,35,0,18,4,10,3,20,JonesLandry_262,0,0,1,56,10,Landry,0,167,262,10,0,76,8,30,Artesia,0,10,90,2,1,74,0,17,19,10,8625,10,0,15,0,0,0,12,0,12,1,-31,20,47,1,14,1,Jones,10,100,10,99,18,41,12,47,12,18,50,2,1,40,1,8,12,10,0,10,1,0,262,49,20,15,20,62,0,0,0,20,20,20,0,12,1,0,0,1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,67,0,0,93,35,14,66,0,6263,69,30,67,75,1,82,75,82,0,66,0,70,0,0,0,0,0,0,65,50,7,0,10,1009,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,3,0,0,0,0,1,0,4,
0.7,0.15,0.749,0.456,0.951,2.95,1,0.05,0.548,0.251,0.15,0,1,0.05,1,0.148,0.5,0.5,0,0,79,28,72,58,46,25,0,0,21,45,54,2,594,212,0,0,0,35,0,511,63,12,3,20,BrayTyler_276,0,0,1,34,10,Tyler,0,34,276,10,0,78,7,4,Clovis,0,10,87,9,1,68,0,12,15,10,56755,10,0,15,0,0,0,0,0,12,1,-31,11,44,2,13,1,Bray,10,100,10,99,31,19,15,31,15,10,39,2,1,32,1,0,12,10,0,14,0,0,276,46,14,14,14,58,0,0,0,11,11,11,0,0,2,0,0,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,70,0,0,90,55,0,54,0,5707,69,20,58,70,1,69,72,86,0,65,0,63,0,0,0,0,0,0,55,50,3,0,15,1009,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,3,0,0,0,0,1,0,4,
0.7,0.55,0.85,0.6,1,2.95,1,0.55,1,0.125,0.05,0,1,0.35,0.8,0.2,0.85,0.5,0,1,93,28,90,78,74,67,0,0,32,23,85,1,385,122,3,0,268,72,2,5,2,56,3,77,BernardGiovani_323,0,0,0,9,30,Giovani,0,143,323,0,0,69,2,8,Fort Lauderdale,0,67,72,25,0,81,0,15,23,82,46387,39,1,68,1,0,0,43,0,20,0,-31,37,85,2,19,1,Bernard,20,100,20,99,15,40,64,64,64,6,76,2,1,52,5,21,29,0,0,65,0,0,323,73,48,59,48,15,1,0,0,30,44,35,0,43,2,0,0,1,6,2,21,50,66,87,0,0,0,0,202,202,203,0,0,0,0,607,6,3,1,90,0,0,93,20,0,61,0,5690,20,35,30,35,1,69,25,30,0,15,810,11,0,0,3,3,607,810,45,50,7,7,72,2,0,0,4,0,0,0,0,0,1,0,2,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,
1,0.255,0.696,0.825,0.958,2.875,1,0.15,1,0.175,0,0,1,0.15,1,0.425,0.5,0.5,0,0,90,31,92,63,77,68,0,0,26,21,81,1,1469,39,0,0,0,72,0,19,6,56,3,72,EllingtonAndre_328,0,0,0,9,10,Andre,0,155,328,0,0,69,2,39,Moncks Corner,0,10,76,32,0,82,0,15,15,76,6321,41,1,72,0,0,0,23,0,20,0,-31,39,86,2,15,1,Ellington,20,100,10,99,20,35,63,61,66,2,80,2,1,47,6,21,15,0,0,66,1,0,328,68,20,35,26,15,1,0,0,23,33,22,0,23,2,0,0,6,2,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,88,0,0,92,20,0,54,0,5787,20,29,29,33,1,82,24,25,0,15,0,14,0,0,0,0,0,0,39,50,6,0,72,1009,0,0,4,0,0,0,0,0,1,0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,
0.789,0.307,0.871,0.825,1,0.15,1,0.55,1,0.3,0,0,0.824,0.55,1,0.655,0.8,0.5,0,0,91,28,90,91,96,89,0,0,54,24,92,1,350,119,4,0,1210,75,3,16,2,58,2,89,BellLeVeon_344,2,0,0,59,39,Le'Veon,0,140,344,16,0,73,8,34,Reynoldsburg,0,99,86,26,0,92,0,22,20,25,37044,52,1,71,0,0,0,66,0,45,0,-31,50,92,2,11,1,Bell,15,100,32,99,25,45,67,92,70,27,87,2,1,87,5,1,20,0,2,69,3,0,344,91,42,63,48,22,1,0,0,42,50,45,0,66,2,0,2,2,27,2,2,412,535,696,907,0,0,0,675,675,675,675,0,0,0,2700,6,1,1,88,0,0,94,15,0,79,0,5688,30,55,32,40,1,81,35,40,0,35,5250,25,0,0,4,3,2500,2750,65,50,7,0,78,18,0,0,4,1,0,0,0,0,1,0,2,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,
1,0.255,0.696,0.825,0.958,2.875,1,0.15,1,0.175,0,0,1,0.15,1,0.425,0.5,0.5,0,0,91,31,90,66,70,74,0,0,25,22,74,1,5508,161,0,0,0,62,0,14,6,48,3,76,BarnerKenjon_381,3,0,0,52,20,Kenjon,0,198,381,19,0,69,14,4,Lynwood,0,10,82,38,0,91,0,21,25,84,57777,37,1,61,0,0,0,61,0,21,0,-31,34,86,2,15,1,Barner,20,100,20,99,18,17,49,45,62,18,83,2,1,51,5,0,20,19,3,56,1,0,381,68,24,46,29,10,1,14,0,29,39,30,0,61,2,0,0,1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,90,0,0,95,30,0,61,0,5678,10,29,10,10,1,85,30,30,0,10,0,11,0,0,0,3,0,0,35,50,7,0,63,1009,0,0,4,0,0,1,0,0,1,0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,
0.806,0.625,0.871,0.825,1,0.205,1,0.55,1,0.455,0,0,1,0.55,1,0.655,0.5,0.5,0,0,89,29,79,60,80,78,0,0,30,24,86,1,5507,63,0,0,0,63,0,31,5,38,3,71,GillisleeMike_401,0,0,0,101,10,Mike,0,137,401,0,0,71,14,8,DeLand,0,10,88,25,0,76,0,20,26,60,3378,64,1,69,0,0,0,9,0,35,0,-31,62,79,2,12,1,Gillislee,20,100,10,99,29,39,61,77,77,6,70,2,1,79,4,11,15,0,0,46,0,0,401,63,34,55,40,15,1,0,0,42,60,47,0,9,2,0,0,1,6,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,87,1,1,89,25,0,74,0,5818,20,33,30,35,1,78,35,39,0,15,0,17,0,0,0,3,0,0,50,50,7,0,53,1009,0,0,4,0,0,0,0,0,0,0,2,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,
